中文名,英文名,标准学名,科,属,资源状态,价值等级,价值外显命名,鱼单价/kg,期望单鱼价格,最大记录重量(kg),期望重量(kg),重量段,最大记录体长(cm),常见体长(cm),重量参数a,重量参数b,栖息带类型,深度下限(m),深度上限(m),资料水温下限(°C),资料水温上限(°C),最喜欢的温度(°C),食性（源表候选）,时段偏好,天气偏好,候选水温带,地域分布,性格,现实单价参考(元/kg),俄4映射鱼种,俄4映射类型,环境类型,迁徙类型,摄食类型,营养级,资料库体型,资料库捕获方式,体长口径,AI审核状态,匹配依据,源记录ID,飞书来源,快照日期,源表版本,Notion资料页
黑鼓鱼,Black Drum,Pogonias Cromis,Sciaenidae,Pogonias,,1,普通,204.9,5023.040115,51.28,,T11,170,50,0.01858,2.899,demersal,10,,18.5,28.5,23.5,"[""肉食性""]",晨昏活跃,多云、小雨或微风；避免强烈正午光照,温水,西大西洋,孤僻,13,鳙鱼,近似种类比,"[""半咸水"",""海水""]",oceanodromous,hunting macrofauna (predator),3.38,fusiform / normal,seines,TL,待人工审核,新增鱼种整合：美术资源总表152-173第173行；鱼类需求第32行；来源英文名与FishBase唯一精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIGHfu,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIGHfu,2026-09-08,4987,https://app.notion.com/p/3d5a4137d2368181a8bed66e6b77b4fd
中华倒刺鲃,Spinibarbus Sinensis,Spinibarbus Sinensis,Cyprinidae,Spinibarbus,,2,常见,1103.2,1442.382073,2.85,1.2,T3,61,35,0.00782,3.152,benthopelagic,,,17,27,22,"[""杂食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,躲藏,30,黑斑刺盖太阳鱼,近似种类比,"[""淡水""]",,variable,2.63,elongated,,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第22行；台钓xlsx策划清单第39行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIpdRI,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIpdRI,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236818a8fbed68abd8ddaea
金鲫,Crucian Carp,Carassius Carassius,Cyprinidae,Carassius,,1,普通,292.5,430.2322732,3,,T3,64,15,0.0079,3.24,demersal,5,20,2,22,12,"[""肉食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,广温,欧亚大陆,撕鳍,30,金鲫,同物种,"[""淡水"",""半咸水""]",potamodromous,hunting macrofauna (predator),3.11,fusiform / normal,seines,TL,待人工审核,新增鱼种整合：美术资源总表152-173第155行；鱼类需求第14行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcI0jrY,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcI0jrY,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236818c871bd139ab07fa45
赤稍雅罗鱼,Asp,Leuciscus Aspius,Leuciscidae,Leuciscus,,2,常见,839.3,5486.692785,9,,T6,120,55,0.004,3.187,benthopelagic,10,,4,20,12,"[""肉食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,冷水,欧亚大陆,追猎,30,赤梢鱼,同物种,"[""淡水"",""半咸水""]",potamodromous,hunting macrofauna (predator),4.47,fusiform / normal,,TL,待人工审核,新增鱼种整合：美术资源总表152-173第157行；鱼类需求第16行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIViHN,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIViHN,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681a5b705c21b61988a29
黑线鳕,Haddock,Melanogrammus Aeglefinus,Gadidae,Melanogrammus,,1,普通,515.4,4632.767793,16.8,1.4,T7,112,35,0.0047,3.1862,demersal,10,450,6.4,10.4,8.4,"[""肉食性""]",全天活跃,晴间多云、微风；以天气稳定为先,冷水,Northeast Atlantic: Bay of Biscay to Spitzbergen; in the Barents Sea to Novaya Zemlya; around Iceland; rare at the southern Greenland.,追猎,13,黑线鳕,同物种,"[""海水""]",oceanodromous,hunting macrofauna (predator),4.03,fusiform / normal,trawls,TL,待人工审核,新增鱼种整合：美术资源总表152-173第163行；鱼类需求第22行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcItX2T,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcItX2T,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681d2a039d81293d23a5b
光倒刺鲃,Spinibarbus Hollandi,Spinibarbus Hollandi,Cyprinidae,Spinibarbus,,2,常见,968.5,151.0299759,0.312,1.5,T1,34,40,0.014,2.924,benthopelagic,2,30,17,27,22,"[""肉食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,躲藏,30,青蛙,近似种类比,"[""淡水""]",,,,Elongated,,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第11行；台钓xlsx策划清单第42行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIPWKl,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIPWKl,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681d5bc77c22576118cc0
鼠鲨,Porbeagle,Lamna Nasus,Lamnidae,Lamna,,2,常见,838.4,95914.16244,230,135,T13,350,244,0.0148,2.964,pelagic-oceanic,0,1360,-1,23,11,"[""肉食性""]",全天活跃,晴间多云、微风；以天气稳定为先,温水,"全球海域, amphitemperature with centers of distribution in the 北大西洋 and temperate water of the southern hemisphere; not in equatorial seas.",追猎,30,鼠鲨,同物种,"[""海水""]",oceanodromous,hunting macrofauna (predator),4.57,fusiform / normal,seines,TL,待人工审核,新增鱼种整合：美术资源总表152-173第172行；鱼类需求第31行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIUKhd,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIUKhd,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681dc8277fd4cb7e2fcd7
银鲫,Prussian Carp,Carassius Gibelio,Cyprinidae,Carassius,,1,普通,272.5,423.0788471,3,,T3,46.6,20,0.0107,3.183,benthopelagic,0,,10,20,15,"[""植食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,温水,欧亚大陆,温和,30,银鲫,同物种,"[""淡水"",""半咸水""]",potamodromous,grazing on aquatic plants,2.47,fusiform / normal,,TL,待人工审核,新增鱼种整合：美术资源总表152-173第160行；鱼类需求第20行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcI5zDu,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcI5zDu,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681e9b074e6299b8885e6
大西洋大比目鱼,Atlantic Halibut,Hippoglossus Hippoglossus,Pleuronectidae,Hippoglossus,,1,普通,361.6,44322.38422,320,12.5,T14,470,150,0.0026,3.3322,demersal,50,2000,2.4,4.4,3.4,"[""肉食性""]",全天活跃,晴间多云、微风；以天气稳定为先,温水,北大西洋,追猎,150,庸鲽,同物种,"[""海水""]",oceanodromous,hunting macrofauna (predator),4,fusiform / normal,hooks and lines,TL,待人工审核,新增鱼种整合：美术资源总表152-173第166行；鱼类需求第25行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIUhsG,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIUhsG,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236811a912dec42f503a38f
海七鳃鳗,Petromyzon Marinus,Petromyzon Marinus,Petromyzontidae,Petromyzon,,3,稀有,1868.4,2290.153282,2.5,1,T3,120,60,0.00208,3,demersal,1,4099,0.6,20,10.3,"[""肉食性""]",夜间活跃,阴天、小雨或低光照；以天气稳定为先,广温,西大西洋,追猎,70,文鳊,近似种类比,"[""淡水"",""半咸水"",""海水""]",anadromous,hunting macrofauna (predator),4.37,eel-like,,TL,待人工审核,新增鱼种整合：美术资源总表152-173第152行；鱼类需求第11行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIURTm,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIURTm,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236811fad88d8baec948db1
大西洋鲱鱼,Atlantic Herringy,Clupea Harengus,Clupeidae,Clupea,,4,珍稀,10225.2,6684.483851,1.05,1.1,T2,45,30,0.00268,3.5,benthopelagic,0,364,1,18,9.5,"[""滤食性""]",全天活跃,晴间多云、微风；以天气稳定为先,冷水,北大西洋,活泼,13,大西洋鲱,同物种,"[""半咸水"",""海水""]",oceanodromous,selective plankton feeding,3.38,fusiform / normal,seines,SL,待人工审核,新增鱼种整合：美术资源总表152-173第168行；鱼类需求第27行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIxqFV,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIxqFV,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236812480e6e5b51a033b52
黑口红点鲑,Blackmouth Salmon,Salvelinus Confluentus,Salmonidae,Salvelinus,,4,珍稀,12250,30030.37648,14.51,1,T4,103,62.5,0.01367,3,benthopelagic,,,11,19,15,"[""肉食性""]",晨昏活跃,多云、小雨或微风；避免强烈正午光照,冷水,"Coastal and mountain streams of Arctic, Pacific, and Missouri River drainages from extreme southern Yukon in Canada to headwaters of Columbia River drainage in northern Nevada, USA",追猎,150,黑口红点鲑,同物种,"[""淡水"",""半咸水""]",,,3.72,fusiform / normal,,TL,待人工审核,新增鱼种整合：玩法提单-鱼第20行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIQCn3,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIQCn3,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681259de9f0b8807e14b8
虎纹鳟鱼,Tiger Trout,Salmo Trutta × Salvelinus Fontinalis,Salmonidae,Salmo,,4,珍稀,4382.8,46558.44197,24.2,,T8,125,84,0.0198,3,reef-associated,4,100,18,24,21,"[""肉食性""]",晨昏活跃,多云、小雨或微风；避免强烈正午光照,暖水,印度—太平洋,追猎,150,小齿狼鱼,近似种类比,"[""海水""]",,hunting macrofauna (predator),4.14,fusiform / normal,various gears,TL,待人工审核,新增鱼种整合：美术资源总表152-173第171行；鱼类需求第30行；来源英文名与FishBase唯一精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIxdGw,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIxdGw,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236814d87fffe6b47fc7eb0
绿青鳕,Pollachius Virens,Pollachius Virens,Gadidae,Pollachius,,1,普通,241,3741.744052,32,,T9,130,60,0.0077,3.0455,demersal,37,364,5,9,7,"[""肉食性""]",全天活跃,晴间多云、微风；以天气稳定为先,温水,西大西洋,追猎,13,绿青鳕,同物种,"[""海水""]",oceanodromous,hunting macrofauna (predator),4.31,fusiform / normal,seines,TL,待人工审核,新增鱼种整合：美术资源总表152-173第165行；鱼类需求第24行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIQa4t,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIQa4t,2026-09-08,4987,https://app.notion.com/p/3d5a4137d2368168b867ed81f1c0b3ef
鳞鲤(白化),Albino Scale Carp,Cyprinus Carpio Var. Albino,Cyprinidae,Cyprinus,,1,普通,192.7,3149.308053,5,1.5,T9,80,35,0.0173,2.993,,0,29,3,35,19,,早晨活跃,晴间多云、微风；以天气稳定为先,温水,欧亚大陆,活泼,16.08,普通鲤鱼,同物种,,,,,,,,待人工审核,新增鱼种整合：玩法提单-鱼第24行；未取得FishBase唯一匹配，保留来源字段；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIcoaF,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIcoaF,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681699c43ef66bc4f8e2d
牛头鲦,Bullhead Minnow,Pimephales Vigilax,Leuciscidae,Pimephales,,2,常见,1168.5,38.06234779,,,T1,9.2,5.7,0.0069,3.187,demersal,,,17,27,22,"[""肉食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,温水,北美洲,躲藏,30,黑尾叉牙七鳃鳗,近似种类比,"[""淡水""]",,,,elongated,,TL,待人工审核,新增鱼种整合：美术资源总表152-173第159行；鱼类需求第18行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIyeHV,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIyeHV,2026-09-08,4987,https://app.notion.com/p/3d5a4137d2368181b025db5c004125ac
女巫鲽,Witch Flounder,Glyptocephalus Cynoglossus,Pleuronectidae,Glyptocephalus,,3,稀有,1868.4,2290.153282,2.5,,T3,60,30,0.0032,3.1895,demersal,18,1570,2,6,4,"[""肉食性""]",全天活跃,晴间多云、微风；以天气稳定为先,冷水,北大西洋,孤僻,70,文鳊,近似种类比,"[""海水""]",oceanodromous,hunting macrofauna (predator),3.17,short and / or deep,seines,SL,待人工审核,新增鱼种整合：美术资源总表152-173第167行；鱼类需求第26行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcI0x5F,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcI0x5F,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681879592f435cf23d02e
彩虹镖鲈,Rainbow Darter,Etheostoma Caeruleum,Percidae,Etheostoma,,2,常见,1168.5,38.06234779,,,T1,7.7,5.3,0.0114,3.03,benthopelagic,,,4,18,11,"[""肉食性""]",晨昏活跃,多云、小雨或微风；避免强烈正午光照,冷水,北美洲,孤僻,30,黑尾叉牙七鳃鳗,近似种类比,"[""淡水""]",,hunting macrofauna (predator),3.3,elongated,,TL,待人工审核,新增鱼种整合：美术资源总表152-173第161行；鱼类需求第19行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIzusj,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIzusj,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681bdb547ea2d3c1e61a9
欧鲢,Common Chub,Squalius Cephalus,Leuciscidae,Squalius,,2,常见,951.4,3498.477573,8,,T5,60,30,0.0123,3.23,benthopelagic,0,,4,20,12,"[""杂食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,冷水,欧亚大陆,活泼,30,驼背白鲑,近似种类比,"[""淡水"",""半咸水""]",potamodromous,variable,2.73,fusiform / normal,,SL,待人工审核,新增鱼种整合：美术资源总表152-173第156行；鱼类需求第15行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIsFRn,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIsFRn,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681c3924efe5c0e8d0841
大西洋鳕鱼,Atlantic Cod,Gadus Morhua,Gadidae,Gadus,,1,普通,280.5,11460.57225,96,,T12,200,100,0.0068,3.101,benthopelagic,0,600,0,15,7.5,"[""肉食性""]",全天活跃,晴间多云、微风；以天气稳定为先,冷水,北大西洋 and Arctic,追猎,30,大西洋鳕,同物种,"[""半咸水"",""海水""]",oceanodromous,hunting macrofauna (predator),4.09,fusiform / normal,trawls,TL,待人工审核,新增鱼种整合：美术资源总表152-173第162行；鱼类需求第21行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcI7jPP,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcI7jPP,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681c596abd90efa95ba83
虎纹梭鱼,Tiger Muskellunge,E. Lucius × E. Masquinongy,Esocidae,E.,,2,常见,968.5,151.0299759,,,T1,,48,0.0146,3.0144,,,,10,24,17,"[""肉食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,活泼,30,青蛙,近似种类比,,,,,,,,待人工审核,新增鱼种整合：美术资源总表152-173第170行；鱼类需求第29行；未取得FishBase唯一匹配，保留来源字段；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIAedj,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIAedj,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681cb9580fda3ad3bfea1
湖红点鲑,Lake Trout,Salvelinus Namaycush,Salmonidae,Salvelinus,,4,珍稀,3272,66843.1237,32.65,,T10,150,50,0.00906,2.997,benthopelagic,3,61,4,13,8.5,"[""肉食性""]",晨昏活跃,多云、小雨或微风；避免强烈正午光照,冷水,北美洲,追猎,150,圆点五色锦鲤,近似种类比,"[""淡水""]",non-migratory,hunting macrofauna (predator),4.29,fusiform / normal,seines,TL,待人工审核,新增鱼种整合：美术资源总表152-173第158行；鱼类需求第17行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcI2VjG,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcI2VjG,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681d7b546d824cfad595f
毛鳞鱼,Capelin,Mallotus Villosus,Osmeridae,Mallotus,,1,普通,527.1,30.68834536,0.052,,T1,20,15,0.00408,3.213,pelagic-oceanic,0,725,1.7,3.7,2.7,"[""滤食性""]",全天活跃,晴间多云、微风；以天气稳定为先,冷水,北半球环极地区,温和,13,乌克兰七鳃鳗,近似种类比,"[""淡水"",""半咸水"",""海水""]",anadromous,selective plankton feeding,3.15,elongated,seines,TL,待人工审核,新增鱼种整合：美术资源总表152-173第169行；鱼类需求第28行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcI6qP9,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcI6qP9,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681f3b98fd8e1798e298a
加拿大梭鲈,Sauger,Sander Canadensis,Percidae,Sander,可用,2,常见,1191.8,2921.649199,3.96,1.35,T4,76,35.8,0.00925,3.058,demersal,5,,19.1,31.1,25.1,"[""肉食性""]",夜间活跃,阴天、小雨或低光照；以天气稳定为先,温水,北美洲,追猎,30,小口黑鲈,近似种类比,"[""淡水""]",,hunting macrofauna (predator),4.06,elongated,seines,TL,待人工审核,去除资产备注后与 FishBase 中文俗名精确匹配,recvppgBfWAAVu,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvppgBfWAAVu,2026-09-08,4987,https://app.notion.com/p/3d5a4137d2368104b77fe665ed766a59
淡水石首鱼,Freshwater Drum,Aplodinotus Grunniens,Sciaenidae,Aplodinotus,可用,1,普通,420.6,4639.877025,24.72,6.07,T8,95,45,0.0089,3.08,demersal,30,27,21.4,33.4,27.4,"[""肉食性""]",晨昏活跃,多云、小雨或微风；避免强烈正午光照,,北美洲与中美洲,孤僻,30,淡水石首鱼,同物种,"[""淡水""]",,hunting macrofauna (predator),3.36,fusiform / normal,,TL,待人工审核,FishBase 中文俗名精确匹配,recvppgBfWJcAj,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvppgBfWJcAj,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681088cabc17d5d25ac95
斑点叉尾鮰,Channel Catfish,Ictalurus Punctatus,Ictaluridae,Ictalurus,可用,3,稀有,1553.6,17773.40682,26.3,6.3,T8,132,57,0.00539,3.133,demersal,,15,10,31.6,20.8,"[""杂食性""]",夜间活跃,阴天、小雨或低光照；以天气稳定为先,广温,北美洲,孤僻,21.33,斑点叉尾鮰,同物种,"[""淡水""]",,variable,4.16,fusiform / normal,seines,TL,待人工审核,FishBase 中文俗名精确匹配,recvppgBfWmWs0,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvppgBfWmWs0,2026-09-08,4987,https://app.notion.com/p/3d5a4137d2368112ba59fda360613c36
黄鲈,Yellow Perch,Perca Flavescens,Percidae,Perca,可用,2,常见,1227.4,1203.56357,1.91,0.53,T2,50,19.1,0.01,3.08,benthopelagic,0,56,0,29.7,14.85,"[""肉食性""]",晨昏活跃,多云、小雨或微风；避免强烈正午光照,温水,北美洲,追猎,30,拉多加白鲑,近似种类比,"[""淡水"",""半咸水""]",,hunting macrofauna (predator),3.67,fusiform / normal,seines,TL,待人工审核,Yellow perch 中文通名；FishBase 接受种核验,recvppgBfW5pTn,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvppgBfW5pTn,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681159410e9e26a24d635
蓝鳃太阳鱼,Bluegill Sunfish,Lepomis Macrochirus,Centrarchidae,Lepomis,可用,1,普通,529.4,519.1189132,2.15,0.53,T2,41,19,0.0068,3.364,benthopelagic,,,1,36,18.5,"[""肉食性""]",晨昏活跃,多云、小雨或微风；避免强烈正午光照,广温,北美洲,孤僻,30,蓝鳃太阳鱼,同物种,"[""淡水""]",,hunting macrofauna (predator),3.24,short and / or deep,,TL,待人工审核,FishBase 中文俗名精确匹配,recvppgBfWdXkn,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvppgBfWdXkn,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236811e949ce1bbc4ae5667
白金火箭,White Alligator Gar,Atractosteus Spatula,Lepisosteidae,Atractosteus,可用,2,常见,1252.2,71626.73796,137,31.5,T12,305,200,0.00963,3,demersal,0,,17,27,22,"[""肉食性""]",晨昏活跃,多云、小雨或微风；避免强烈正午光照,温水,北美洲,孤僻,30,鳄雀鳝,近似种类比,"[""淡水"",""半咸水""]",,hunting macrofauna (predator),4.02,elongated,gillnets,OT,待人工审核,鳄雀鳝白金色型，按括号标注的原型物种归并,recvppgBfWN4vR,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvppgBfWN4vR,2026-09-08,4987,https://app.notion.com/p/3d5a4137d2368125b1e0cc327c3bf48a
美鱥,Common Shiner,Notemigonus Crysoleucas,Leuciscidae,Notemigonus,可用,2,常见,968.5,151.0299759,,0.08,T1,32,14.4,0.0054,3.216,demersal,10,,0,34.7,17.35,"[""杂食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,温水,北美洲,躲藏,30,青蛙,近似种类比,"[""淡水"",""半咸水""]",,variable,2.65,fusiform / normal,,TL,待人工审核,中文规范名/学术资料与 FishBase 接受种核验,recvppgBfWcwV0,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvppgBfWcwV0,2026-09-08,4987,https://app.notion.com/p/3d5a4137d2368127ac8fe8b63b511b57
鸭嘴鲟,American Paddlefish,Polyodon Spathula,Polyodontidae,Polyodon,可用,2,常见,946.7,46415.93047,90.719,27,T12,221,119.8,0.00045,3.464,demersal,2,,10,18,14,"[""滤食性""]",全天活跃,晴间多云、微风；以天气稳定为先,冷水,北美洲,温和,30,拉多加鲟,近似种类比,"[""淡水""]",potamodromous,filtering plankton,3.1,elongated,seines,TL,待人工审核,中国百科/渔业资料别名与 FishBase 接受种核验,recvppgBfWV4up,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvppgBfWV4up,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236812d948cf0068e25f3d6
迷人真小鲤,Blacktail Shiner,Cyprinella Venusta,Leuciscidae,Cyprinella,可用,2,常见,1168.5,38.06234779,,0.01,T1,19,,0.0141,2.72,benthopelagic,,,17,27,22,"[""肉食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,温水,北美洲,撕鳍,30,黑尾叉牙七鳃鳗,近似种类比,"[""淡水""]",,,3.2,fusiform / normal,,TL,待人工审核,项目译名对应 Blacktail shiner；FishBase 接受种核验,recvppgBfWTESZ,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvppgBfWTESZ,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681308307de7de53fdca3
美洲锐唇鲷,Chiselmouth,Gila Alutacea,Leuciscidae,Gila,可用,2,常见,968.5,151.0299759,,0.08,T1,30,17.5,0.01279,3,demersal,,,11,19,15,"[""植食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,温水,北美洲,温和,30,青蛙,近似种类比,"[""淡水""]",,grazing on aquatic plants,2.13,fusiform / normal,,TL,待人工审核,FishBase 中文俗名精确匹配,recvppgBfW1di5,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvppgBfW1di5,2026-09-08,4987,https://app.notion.com/p/3d5a4137d2368135baffd54a7d311dcc
